DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
8/7/2019,23013936598,ELECTRONIC NEW ACCOUNT FUNDING,,,,,6000,,,,
10/3/2019,23506877791,Bought 10 SPY @ 289.6242,10,SPY,289.6242,0,-2896.24,,,,
10/9/2019,23555865051,Sold 10 SPY @ 290.9599,10,SPY,290.9599,0,2909.54,0.06,,,
11/8/2019,23808748735,Bought 10 GLD @ 137.73,10,GLD,137.73,0,-1377.3,,,,
11/15/2019,23866445094,Bought 10 TXN @ 118.01,10,TXN,118.01,0,-1180.1,,,,
12/12/2019,24107524017,Bought 4 TM @ 141.349,4,TM,141.349,0,-565.4,,,,
12/17/2019,24159557883,Sold 5 TXN @ 126.63,5,TXN,126.63,0,633.14,0.01,,,
12/31/2019,24330935525,Sold 5 TXN @ 127.25,5,TXN,127.25,0,636.24,0.01,,,
12/31/2019,24330993775,Sold 4 TM @ 140.6,4,TM,140.6,0,562.39,0.01,,,
2/20/2020,24882088491,Sold 10 GLD @ 152.28,10,GLD,152.28,0,1522.77,0.03,,,
2/24/2020,24913138971,Bought 4 SPY @ 323,4,SPY,323,0,-1292,,,,?
2/26/2020,24945792101,Bought 6 SPY @ 314.25,6,SPY,314.25,0,-1885.5,,,,
2/28/2020,24986126060,Sold 5 SPY @ 291.415,5,SPY,291.415,0,1457.05,0.03,,,
3/2/2020,25032525755,Bought 7 SPY @ 302.1842,7,SPY,302.1842,0,-2115.29,,,,
3/2/2020,25032564211,Bought 3 SPY @ 302.8,3,SPY,302.8,0,-908.4,,,,
3/2/2020,25032584281,Bought 3 SPY @ 303.4842,3,SPY,303.4842,0,-910.45,,,,
3/10/2020,25165064812,Sold 15 SPY @ 281.8972,15,SPY,281.8972,0,4228.37,0.09,,,
3/25/2020,25451300444,Bought 6 TNK @ 21.43,6,TNK,21.43,0,-128.58,,,,
3/25/2020,25451297127,Bought 21 TNK @ 21.43,21,TNK,21.43,0,-450.03,,,,
3/25/2020,25451717863,Bought 100 F @ 5.67,100,F,5.67,0,-567,,,,
3/25/2020,25453940503,Bought 5 QRVO @ 79.37,5,QRVO,79.37,0,-396.85,,,,
3/30/2020,25536001281,Bought 10 AAL @ 12.77,10,AAL,12.77,0,-127.7,,,,
4/2/2020,25657961844,Bought 5 UAL @ 24.13,5,UAL,24.13,0,-120.65,,,,
4/15/2020,25860975951,Bought 2 AAPL @ 285.4999,2,AAPL,285.4999,0,-571,,,,
4/15/2020,25861536546,Bought 2 SPY @ 277.54,2,SPY,277.54,0,-555.08,,,,
4/17/2020,25900144390,Bought 2 RNG @ 226.77,2,RNG,226.77,0,-453.54,,,,
4/21/2020,25946005100,Bought 2 AAPL @ 273.74,2,AAPL,273.74,0,-547.48,,,,
